t,Ek,Ep,Ec
0,0,7.53765e-09,7.53765e-09
0.2,3.13953e-10,7.23926e-09,7.55321e-09
0.4,1.23083e-09,6.38578e-09,7.61661e-09
0.6,2.64113e-09,5.1036e-09,7.74473e-09
0.8,4.35227e-09,3.59303e-09,7.9453e-09
1,6.11603e-09,2.09925e-09,8.21528e-09
1.2,7.66602e-09,8.749e-10,8.54092e-09
1.4,8.75954e-09,1.40006e-10,8.89955e-09
1.6,9.21739e-09,4.54517e-11,9.26285e-09
1.8,8.95509e-09,6.4607e-10,9.60116e-09
2,8.00022e-09,1.88786e-09,9.88808e-09
