t,Ek,Ep,Ec
0.497,1.78476e-09,5.82451e-09,7.60927e-09
0.498,1.79134e-09,5.81819e-09,7.60953e-09
0.499,1.79794e-09,5.81186e-09,7.6098e-09
0.5,1.80454e-09,5.80552e-09,7.61006e-09
0.501,1.81115e-09,5.79917e-09,7.61033e-09
0.502,1.81777e-09,5.79282e-09,7.61059e-09
0.503,1.8244e-09,5.78646e-09,7.61086e-09
0.504,1.83104e-09,5.78009e-09,7.61113e-09
0.505,1.83769e-09,5.77371e-09,7.61139e-09
0.506,1.84434e-09,5.76732e-09,7.61166e-09
0.507,1.851e-09,5.76093e-09,7.61193e-09
0.508,1.85767e-09,5.75453e-09,7.6122e-09
0.509,1.86435e-09,5.74812e-09,7.61247e-09
0.51,1.87104e-09,5.7417e-09,7.61274e-09
0.511,1.87773e-09,5.73527e-09,7.61301e-09
0.512,1.88444e-09,5.72884e-09,7.61327e-09
0.513,1.89115e-09,5.7224e-09,7.61354e-09
0.514,1.89787e-09,5.71595e-09,7.61382e-09
0.515,1.90459e-09,5.70949e-09,7.61409e-09
0.516,1.91133e-09,5.70303e-09,7.61436e-09
0.517,1.91807e-09,5.69655e-09,7.61463e-09
0.518,1.92483e-09,5.69007e-09,7.6149e-09
0.519,1.93159e-09,5.68358e-09,7.61517e-09
0.52,1.93836e-09,5.67709e-09,7.61544e-09
0.521,1.94513e-09,5.67059e-09,7.61572e-09
0.522,1.95191e-09,5.66407e-09,7.61599e-09
0.523,1.95871e-09,5.65756e-09,7.61626e-09
0.524,1.96551e-09,5.65103e-09,7.61654e-09
0.525,1.97231e-09,5.6445e-09,7.61681e-09
0.526,1.97913e-09,5.63796e-09,7.61708e-09
0.527,1.98595e-09,5.63141e-09,7.61736e-09
0.528,1.99278e-09,5.62485e-09,7.61763e-09
0.529,1.99962e-09,5.61829e-09,7.61791e-09
0.53,2.00647e-09,5.61172e-09,7.61819e-09
0.531,2.01332e-09,5.60514e-09,7.61846e-09
0.532,2.02018e-09,5.59855e-09,7.61874e-09
0.533,2.02705e-09,5.59196e-09,7.61901e-09
0.534,2.03393e-09,5.58536e-09,7.61929e-09
0.535,2.04082e-09,5.57875e-09,7.61957e-09
0.536,2.04771e-09,5.57214e-09,7.61984e-09
0.537,2.05461e-09,5.56552e-09,7.62012e-09
0.538,2.06151e-09,5.55889e-09,7.6204e-09
0.539,2.06843e-09,5.55225e-09,7.62068e-09
0.54,2.07535e-09,5.54561e-09,7.62096e-09
0.541,2.08228e-09,5.53896e-09,7.62124e-09
0.542,2.08922e-09,5.5323e-09,7.62152e-09
0.543,2.09616e-09,5.52563e-09,7.62179e-09
0.544,2.10311e-09,5.51896e-09,7.62207e-09
0.545,2.11007e-09,5.51228e-09,7.62235e-09
0.546,2.11704e-09,5.5056e-09,7.62264e-09
0.547,2.12401e-09,5.49891e-09,7.62292e-09
0.548,2.13099e-09,5.49221e-09,7.6232e-09
0.549,2.13798e-09,5.4855e-09,7.62348e-09
0.55,2.14497e-09,5.47879e-09,7.62376e-09
0.551,2.15198e-09,5.47207e-09,7.62404e-09
0.552,2.15898e-09,5.46534e-09,7.62432e-09
0.553,2.166e-09,5.45861e-09,7.62461e-09
0.554,2.17302e-09,5.45186e-09,7.62489e-09
0.555,2.18005e-09,5.44512e-09,7.62517e-09
0.556,2.18709e-09,5.43836e-09,7.62546e-09
0.557,2.19414e-09,5.4316e-09,7.62574e-09
0.558,2.20119e-09,5.42484e-09,7.62602e-09
0.559,2.20824e-09,5.41806e-09,7.62631e-09
0.56,2.21531e-09,5.41128e-09,7.62659e-09
0.561,2.22238e-09,5.40449e-09,7.62688e-09
0.562,2.22946e-09,5.3977e-09,7.62716e-09
0.563,2.23655e-09,5.3909e-09,7.62745e-09
0.564,2.24364e-09,5.38409e-09,7.62773e-09
0.565,2.25074e-09,5.37728e-09,7.62802e-09
0.566,2.25784e-09,5.37046e-09,7.6283e-09
0.567,2.26495e-09,5.36364e-09,7.62859e-09
0.568,2.27207e-09,5.3568e-09,7.62888e-09
0.569,2.2792e-09,5.34996e-09,7.62916e-09
0.57,2.28633e-09,5.34312e-09,7.62945e-09
0.571,2.29347e-09,5.33627e-09,7.62974e-09
0.572,2.30061e-09,5.32941e-09,7.63003e-09
0.573,2.30777e-09,5.32255e-09,7.63031e-09
0.574,2.31492e-09,5.31568e-09,7.6306e-09
0.575,2.32209e-09,5.3088e-09,7.63089e-09
0.576,2.32926e-09,5.30192e-09,7.63118e-09
0.577,2.33644e-09,5.29503e-09,7.63147e-09
0.578,2.34362e-09,5.28814e-09,7.63176e-09
0.579,2.35081e-09,5.28124e-09,7.63205e-09
0.58,2.35801e-09,5.27433e-09,7.63234e-09
0.581,2.36521e-09,5.26742e-09,7.63263e-09
0.582,2.37242e-09,5.2605e-09,7.63292e-09
0.583,2.37964e-09,5.25357e-09,7.63321e-09
0.584,2.38686e-09,5.24664e-09,7.6335e-09
0.585,2.39408e-09,5.23971e-09,7.63379e-09
0.586,2.40132e-09,5.23276e-09,7.63408e-09
0.587,2.40856e-09,5.22581e-09,7.63437e-09
0.588,2.4158e-09,5.21886e-09,7.63467e-09
0.589,2.42306e-09,5.2119e-09,7.63496e-09
0.59,2.43031e-09,5.20494e-09,7.63525e-09
0.591,2.43758e-09,5.19796e-09,7.63554e-09
0.592,2.44485e-09,5.19099e-09,7.63584e-09
0.593,2.45212e-09,5.184e-09,7.63613e-09
0.594,2.45941e-09,5.17702e-09,7.63642e-09
0.595,2.46669e-09,5.17002e-09,7.63672e-09
0.596,2.47399e-09,5.16302e-09,7.63701e-09
0.597,2.48129e-09,5.15602e-09,7.6373e-09
0.598,2.48859e-09,5.14901e-09,7.6376e-09
0.599,2.4959e-09,5.14199e-09,7.63789e-09
0.6,2.50322e-09,5.13497e-09,7.63819e-09
0.601,2.51054e-09,5.12794e-09,7.63848e-09
0.602,2.51787e-09,5.12091e-09,7.63878e-09
0.603,2.5252e-09,5.11387e-09,7.63907e-09
0.604,2.53254e-09,5.10683e-09,7.63937e-09
0.605,2.53989e-09,5.09978e-09,7.63966e-09
0.606,2.54724e-09,5.09272e-09,7.63996e-09
0.607,2.55459e-09,5.08566e-09,7.64026e-09
0.608,2.56196e-09,5.0786e-09,7.64055e-09
0.609,2.56932e-09,5.07153e-09,7.64085e-09
0.61,2.57669e-09,5.06445e-09,7.64115e-09
0.611,2.58407e-09,5.05737e-09,7.64144e-09
0.612,2.59146e-09,5.05029e-09,7.64174e-09
0.613,2.59884e-09,5.0432e-09,7.64204e-09
0.614,2.60624e-09,5.0361e-09,7.64234e-09
0.615,2.61364e-09,5.029e-09,7.64264e-09
0.616,2.62104e-09,5.02189e-09,7.64293e-09
0.617,2.62845e-09,5.01478e-09,7.64323e-09
0.618,2.63587e-09,5.00767e-09,7.64353e-09
0.619,2.64329e-09,5.00055e-09,7.64383e-09
0.62,2.65071e-09,4.99342e-09,7.64413e-09
0.621,2.65814e-09,4.98629e-09,7.64443e-09
0.622,2.66558e-09,4.97915e-09,7.64473e-09
0.623,2.67302e-09,4.97201e-09,7.64503e-09
0.624,2.68046e-09,4.96487e-09,7.64533e-09
0.625,2.68791e-09,4.95772e-09,7.64563e-09
0.626,2.69537e-09,4.95056e-09,7.64593e-09
0.627,2.70283e-09,4.9434e-09,7.64623e-09
0.628,2.71029e-09,4.93624e-09,7.64653e-09
0.629,2.71776e-09,4.92907e-09,7.64683e-09
0.63,2.72524e-09,4.9219e-09,7.64713e-09
0.631,2.73272e-09,4.91472e-09,7.64744e-09
0.632,2.7402e-09,4.90754e-09,7.64774e-09
0.633,2.74769e-09,4.90035e-09,7.64804e-09
0.634,2.75518e-09,4.89316e-09,7.64834e-09
0.635,2.76268e-09,4.88596e-09,7.64864e-09
0.636,2.77019e-09,4.87876e-09,7.64895e-09
0.637,2.77769e-09,4.87155e-09,7.64925e-09
0.638,2.78521e-09,4.86435e-09,7.64955e-09
0.639,2.79272e-09,4.85713e-09,7.64985e-09
0.64,2.80024e-09,4.84991e-09,7.65016e-09
0.641,2.80777e-09,4.84269e-09,7.65046e-09
0.642,2.8153e-09,4.83546e-09,7.65076e-09
0.643,2.82284e-09,4.82823e-09,7.65107e-09
0.644,2.83038e-09,4.821e-09,7.65137e-09
0.645,2.83792e-09,4.81376e-09,7.65168e-09
0.646,2.84547e-09,4.80651e-09,7.65198e-09
0.647,2.85302e-09,4.79927e-09,7.65229e-09
0.648,2.86058e-09,4.79201e-09,7.65259e-09
0.649,2.86814e-09,4.78476e-09,7.6529e-09
0.65,2.8757e-09,4.7775e-09,7.6532e-09
0.651,2.88327e-09,4.77023e-09,7.65351e-09
0.652,2.89085e-09,4.76296e-09,7.65381e-09
0.653,2.89843e-09,4.75569e-09,7.65412e-09
0.654,2.90601e-09,4.74842e-09,7.65442e-09
0.655,2.91359e-09,4.74113e-09,7.65473e-09
0.656,2.92118e-09,4.73385e-09,7.65503e-09
0.657,2.92878e-09,4.72656e-09,7.65534e-09
0.658,2.93638e-09,4.71927e-09,7.65565e-09
0.659,2.94398e-09,4.71198e-09,7.65595e-09
0.66,2.95158e-09,4.70468e-09,7.65626e-09
0.661,2.95919e-09,4.69737e-09,7.65657e-09
0.662,2.96681e-09,4.69007e-09,7.65687e-09
0.663,2.97443e-09,4.68276e-09,7.65718e-09
0.664,2.98205e-09,4.67544e-09,7.65749e-09
0.665,2.98967e-09,4.66812e-09,7.6578e-09
0.666,2.9973e-09,4.6608e-09,7.6581e-09
0.667,3.00493e-09,4.65348e-09,7.65841e-09
0.668,3.01257e-09,4.64615e-09,7.65872e-09
0.669,3.02021e-09,4.63882e-09,7.65903e-09
0.67,3.02786e-09,4.63148e-09,7.65934e-09
0.671,3.0355e-09,4.62414e-09,7.65965e-09
0.672,3.04315e-09,4.6168e-09,7.65995e-09
0.673,3.05081e-09,4.60945e-09,7.66026e-09
0.674,3.05847e-09,4.60211e-09,7.66057e-09
0.675,3.06613e-09,4.59475e-09,7.66088e-09
0.676,3.07379e-09,4.5874e-09,7.66119e-09
0.677,3.08146e-09,4.58004e-09,7.6615e-09
0.678,3.08913e-09,4.57268e-09,7.66181e-09
0.679,3.09681e-09,4.56531e-09,7.66212e-09
0.68,3.10449e-09,4.55794e-09,7.66243e-09
0.681,3.11217e-09,4.55057e-09,7.66274e-09
0.682,3.11985e-09,4.5432e-09,7.66305e-09
0.683,3.12754e-09,4.53582e-09,7.66336e-09
0.684,3.13523e-09,4.52844e-09,7.66367e-09
0.685,3.14293e-09,4.52105e-09,7.66398e-09
0.686,3.15063e-09,4.51366e-09,7.66429e-09
0.687,3.15833e-09,4.50627e-09,7.6646e-09
0.688,3.16603e-09,4.49888e-09,7.66491e-09
0.689,3.17374e-09,4.49149e-09,7.66522e-09
0.69,3.18145e-09,4.48409e-09,7.66553e-09
0.691,3.18916e-09,4.47668e-09,7.66585e-09
0.692,3.19688e-09,4.46928e-09,7.66616e-09
0.693,3.2046e-09,4.46187e-09,7.66647e-09
0.694,3.21232e-09,4.45446e-09,7.66678e-09
0.695,3.22004e-09,4.44705e-09,7.66709e-09
0.696,3.22777e-09,4.43963e-09,7.6674e-09
0.697,3.2355e-09,4.43222e-09,7.66772e-09
0.698,3.24323e-09,4.42479e-09,7.66803e-09
0.699,3.25097e-09,4.41737e-09,7.66834e-09
0.7,3.25871e-09,4.40994e-09,7.66865e-09
0.701,3.26645e-09,4.40252e-09,7.66897e-09
0.702,3.27419e-09,4.39508e-09,7.66928e-09
0.703,3.28194e-09,4.38765e-09,7.66959e-09
0.704,3.28969e-09,4.38021e-09,7.6699e-09
0.705,3.29744e-09,4.37278e-09,7.67022e-09
0.706,3.30519e-09,4.36533e-09,7.67053e-09
0.707,3.31295e-09,4.35789e-09,7.67084e-09
0.708,3.32071e-09,4.35045e-09,7.67116e-09
0.709,3.32847e-09,4.343e-09,7.67147e-09
0.71,3.33624e-09,4.33555e-09,7.67178e-09
0.711,3.344e-09,4.32809e-09,7.6721e-09
0.712,3.35177e-09,4.32064e-09,7.67241e-09
0.713,3.35954e-09,4.31318e-09,7.67272e-09
0.714,3.36732e-09,4.30572e-09,7.67304e-09
0.715,3.37509e-09,4.29826e-09,7.67335e-09
0.716,3.38287e-09,4.2908e-09,7.67367e-09
0.717,3.39065e-09,4.28333e-09,7.67398e-09
0.718,3.39843e-09,4.27586e-09,7.67429e-09
0.719,3.40621e-09,4.26839e-09,7.67461e-09
0.72,3.414e-09,4.26092e-09,7.67492e-09
0.721,3.42179e-09,4.25345e-09,7.67524e-09
0.722,3.42958e-09,4.24597e-09,7.67555e-09
0.723,3.43737e-09,4.23849e-09,7.67587e-09
0.724,3.44517e-09,4.23101e-09,7.67618e-09
0.725,3.45296e-09,4.22353e-09,7.6765e-09
0.726,3.46076e-09,4.21605e-09,7.67681e-09
0.727,3.46856e-09,4.20856e-09,7.67713e-09
0.728,3.47636e-09,4.20108e-09,7.67744e-09
0.729,3.48417e-09,4.19359e-09,7.67776e-09
0.73,3.49197e-09,4.1861e-09,7.67807e-09
0.731,3.49978e-09,4.17861e-09,7.67839e-09
0.732,3.50759e-09,4.17111e-09,7.6787e-09
0.733,3.5154e-09,4.16362e-09,7.67902e-09
0.734,3.52321e-09,4.15612e-09,7.67933e-09
0.735,3.53102e-09,4.14862e-09,7.67965e-09
0.736,3.53884e-09,4.14112e-09,7.67996e-09
0.737,3.54666e-09,4.13362e-09,7.68028e-09
0.738,3.55448e-09,4.12612e-09,7.6806e-09
0.739,3.5623e-09,4.11862e-09,7.68091e-09
0.74,3.57012e-09,4.11111e-09,7.68123e-09
0.741,3.57794e-09,4.1036e-09,7.68154e-09
0.742,3.58577e-09,4.09609e-09,7.68186e-09
0.743,3.59359e-09,4.08859e-09,7.68218e-09
0.744,3.60142e-09,4.08107e-09,7.68249e-09
0.745,3.60925e-09,4.07356e-09,7.68281e-09
0.746,3.61708e-09,4.06605e-09,7.68312e-09
0.747,3.62491e-09,4.05853e-09,7.68344e-09
0.748,3.63274e-09,4.05102e-09,7.68376e-09
0.749,3.64057e-09,4.0435e-09,7.68407e-09
0.75,3.64841e-09,4.03598e-09,7.68439e-09
0.751,3.65624e-09,4.02846e-09,7.68471e-09
0.752,3.66408e-09,4.02094e-09,7.68502e-09
0.753,3.67192e-09,4.01342e-09,7.68534e-09
0.754,3.67976e-09,4.0059e-09,7.68566e-09
0.755,3.6876e-09,3.99838e-09,7.68597e-09
0.756,3.69544e-09,3.99086e-09,7.68629e-09
0.757,3.70328e-09,3.98333e-09,7.68661e-09
0.758,3.71112e-09,3.9758e-09,7.68693e-09
0.759,3.71896e-09,3.96828e-09,7.68724e-09
0.76,3.72681e-09,3.96075e-09,7.68756e-09
0.761,3.73465e-09,3.95322e-09,7.68788e-09
0.762,3.7425e-09,3.94569e-09,7.68819e-09
0.763,3.75035e-09,3.93816e-09,7.68851e-09
0.764,3.75819e-09,3.93063e-09,7.68883e-09
0.765,3.76604e-09,3.9231e-09,7.68915e-09
0.766,3.77389e-09,3.91557e-09,7.68946e-09
0.767,3.78174e-09,3.90804e-09,7.68978e-09
0.768,3.78959e-09,3.90051e-09,7.6901e-09
0.769,3.79744e-09,3.89297e-09,7.69041e-09
0.77,3.80529e-09,3.88544e-09,7.69073e-09
0.771,3.81314e-09,3.87791e-09,7.69105e-09
0.772,3.82099e-09,3.87037e-09,7.69137e-09
0.773,3.82885e-09,3.86284e-09,7.69168e-09
0.774,3.8367e-09,3.8553e-09,7.692e-09
0.775,3.84455e-09,3.84777e-09,7.69232e-09
0.776,3.85241e-09,3.84023e-09,7.69264e-09
0.777,3.86026e-09,3.83269e-09,7.69295e-09
0.778,3.86811e-09,3.82516e-09,7.69327e-09
0.779,3.87597e-09,3.81762e-09,7.69359e-09
0.78,3.88382e-09,3.81008e-09,7.69391e-09
0.781,3.89168e-09,3.80255e-09,7.69422e-09
0.782,3.89953e-09,3.79501e-09,7.69454e-09
0.783,3.90739e-09,3.78747e-09,7.69486e-09
0.784,3.91524e-09,3.77993e-09,7.69518e-09
0.785,3.9231e-09,3.7724e-09,7.69549e-09
0.786,3.93095e-09,3.76486e-09,7.69581e-09
0.787,3.93881e-09,3.75732e-09,7.69613e-09
0.788,3.94666e-09,3.74978e-09,7.69645e-09
0.789,3.95452e-09,3.74225e-09,7.69677e-09
0.79,3.96237e-09,3.73471e-09,7.69708e-09
0.791,3.97023e-09,3.72717e-09,7.6974e-09
0.792,3.97808e-09,3.71964e-09,7.69772e-09
0.793,3.98594e-09,3.7121e-09,7.69804e-09
0.794,3.99379e-09,3.70456e-09,7.69835e-09
0.795,4.00165e-09,3.69703e-09,7.69867e-09
0.796,4.0095e-09,3.68949e-09,7.69899e-09
0.797,4.01735e-09,3.68195e-09,7.69931e-09
0.798,4.02521e-09,3.67442e-09,7.69962e-09
0.799,4.03306e-09,3.66688e-09,7.69994e-09
0.8,4.04091e-09,3.65935e-09,7.70026e-09
0.801,4.04876e-09,3.65182e-09,7.70058e-09
0.802,4.05661e-09,3.64428e-09,7.7009e-09
0.803,4.06446e-09,3.63675e-09,7.70121e-09
0.804,4.07231e-09,3.62922e-09,7.70153e-09
0.805,4.08016e-09,3.62168e-09,7.70185e-09
0.806,4.08801e-09,3.61415e-09,7.70217e-09
0.807,4.09586e-09,3.60662e-09,7.70248e-09
0.808,4.10371e-09,3.59909e-09,7.7028e-09
0.809,4.11156e-09,3.59156e-09,7.70312e-09
0.81,4.1194e-09,3.58403e-09,7.70344e-09
0.811,4.12725e-09,3.57651e-09,7.70375e-09
0.812,4.13509e-09,3.56898e-09,7.70407e-09
0.813,4.14294e-09,3.56145e-09,7.70439e-09
0.814,4.15078e-09,3.55393e-09,7.70471e-09
0.815,4.15862e-09,3.5464e-09,7.70502e-09
0.816,4.16646e-09,3.53888e-09,7.70534e-09
0.817,4.1743e-09,3.53135e-09,7.70566e-09
0.818,4.18214e-09,3.52383e-09,7.70597e-09
0.819,4.18998e-09,3.51631e-09,7.70629e-09
0.82,4.19782e-09,3.50879e-09,7.70661e-09
0.821,4.20565e-09,3.50127e-09,7.70693e-09
0.822,4.21349e-09,3.49375e-09,7.70724e-09
0.823,4.22132e-09,3.48624e-09,7.70756e-09
0.824,4.22916e-09,3.47872e-09,7.70788e-09
0.825,4.23699e-09,3.47121e-09,7.70819e-09
0.826,4.24482e-09,3.46369e-09,7.70851e-09
0.827,4.25265e-09,3.45618e-09,7.70883e-09
0.828,4.26048e-09,3.44867e-09,7.70915e-09
0.829,4.2683e-09,3.44116e-09,7.70946e-09
0.83,4.27613e-09,3.43365e-09,7.70978e-09
0.831,4.28395e-09,3.42615e-09,7.7101e-09
0.832,4.29177e-09,3.41864e-09,7.71041e-09
0.833,4.29959e-09,3.41114e-09,7.71073e-09
0.834,4.30741e-09,3.40363e-09,7.71105e-09
0.835,4.31523e-09,3.39613e-09,7.71136e-09
0.836,4.32305e-09,3.38863e-09,7.71168e-09
0.837,4.33086e-09,3.38113e-09,7.712e-09
0.838,4.33868e-09,3.37364e-09,7.71231e-09
0.839,4.34649e-09,3.36614e-09,7.71263e-09
0.84,4.3543e-09,3.35865e-09,7.71294e-09
0.841,4.36211e-09,3.35116e-09,7.71326e-09
0.842,4.36991e-09,3.34366e-09,7.71358e-09
0.843,4.37772e-09,3.33618e-09,7.71389e-09
0.844,4.38552e-09,3.32869e-09,7.71421e-09
0.845,4.39332e-09,3.3212e-09,7.71452e-09
0.846,4.40112e-09,3.31372e-09,7.71484e-09
0.847,4.40892e-09,3.30624e-09,7.71516e-09
0.848,4.41671e-09,3.29876e-09,7.71547e-09
0.849,4.42451e-09,3.29128e-09,7.71579e-09
0.85,4.4323e-09,3.28381e-09,7.7161e-09
0.851,4.44009e-09,3.27633e-09,7.71642e-09
0.852,4.44787e-09,3.26886e-09,7.71673e-09
0.853,4.45566e-09,3.26139e-09,7.71705e-09
0.854,4.46344e-09,3.25392e-09,7.71737e-09
0.855,4.47122e-09,3.24646e-09,7.71768e-09
0.856,4.479e-09,3.23899e-09,7.718e-09
0.857,4.48678e-09,3.23153e-09,7.71831e-09
0.858,4.49455e-09,3.22407e-09,7.71863e-09
0.859,4.50233e-09,3.21661e-09,7.71894e-09
0.86,4.5101e-09,3.20916e-09,7.71926e-09
0.861,4.51786e-09,3.20171e-09,7.71957e-09
0.862,4.52563e-09,3.19426e-09,7.71988e-09
0.863,4.53339e-09,3.18681e-09,7.7202e-09
0.864,4.54115e-09,3.17936e-09,7.72051e-09
0.865,4.54891e-09,3.17192e-09,7.72083e-09
0.866,4.55667e-09,3.16448e-09,7.72114e-09
0.867,4.56442e-09,3.15704e-09,7.72146e-09
0.868,4.57217e-09,3.1496e-09,7.72177e-09
0.869,4.57992e-09,3.14217e-09,7.72208e-09
0.87,4.58766e-09,3.13474e-09,7.7224e-09
0.871,4.59541e-09,3.12731e-09,7.72271e-09
0.872,4.60315e-09,3.11988e-09,7.72303e-09
0.873,4.61088e-09,3.11246e-09,7.72334e-09
0.874,4.61862e-09,3.10504e-09,7.72365e-09
0.875,4.62635e-09,3.09762e-09,7.72397e-09
0.876,4.63408e-09,3.0902e-09,7.72428e-09
0.877,4.64181e-09,3.08279e-09,7.72459e-09
0.878,4.64953e-09,3.07538e-09,7.72491e-09
0.879,4.65725e-09,3.06797e-09,7.72522e-09
0.88,4.66497e-09,3.06057e-09,7.72553e-09
0.881,4.67268e-09,3.05316e-09,7.72584e-09
0.882,4.68039e-09,3.04576e-09,7.72616e-09
0.883,4.6881e-09,3.03837e-09,7.72647e-09
0.884,4.69581e-09,3.03097e-09,7.72678e-09
0.885,4.70351e-09,3.02358e-09,7.72709e-09
0.886,4.71121e-09,3.0162e-09,7.72741e-09
0.887,4.71891e-09,3.00881e-09,7.72772e-09
0.888,4.7266e-09,3.00143e-09,7.72803e-09
0.889,4.73429e-09,2.99405e-09,7.72834e-09
0.89,4.74198e-09,2.98668e-09,7.72865e-09
0.891,4.74966e-09,2.97931e-09,7.72897e-09
0.892,4.75734e-09,2.97194e-09,7.72928e-09
0.893,4.76502e-09,2.96457e-09,7.72959e-09
0.894,4.77269e-09,2.95721e-09,7.7299e-09
0.895,4.78036e-09,2.94985e-09,7.73021e-09
0.896,4.78803e-09,2.94249e-09,7.73052e-09
0.897,4.79569e-09,2.93514e-09,7.73083e-09
0.898,4.80335e-09,2.92779e-09,7.73114e-09
0.899,4.81101e-09,2.92045e-09,7.73145e-09
0.9,4.81866e-09,2.9131e-09,7.73176e-09
0.901,4.82631e-09,2.90576e-09,7.73208e-09
0.902,4.83396e-09,2.89843e-09,7.73239e-09
0.903,4.8416e-09,2.8911e-09,7.7327e-09
0.904,4.84924e-09,2.88377e-09,7.73301e-09
0.905,4.85687e-09,2.87644e-09,7.73331e-09
0.906,4.8645e-09,2.86912e-09,7.73362e-09
0.907,4.87213e-09,2.8618e-09,7.73393e-09
0.908,4.87975e-09,2.85449e-09,7.73424e-09
0.909,4.88737e-09,2.84718e-09,7.73455e-09
0.91,4.89499e-09,2.83987e-09,7.73486e-09
0.911,4.9026e-09,2.83257e-09,7.73517e-09
0.912,4.91021e-09,2.82527e-09,7.73548e-09
0.913,4.91781e-09,2.81797e-09,7.73579e-09
0.914,4.92542e-09,2.81068e-09,7.7361e-09
0.915,4.93301e-09,2.80339e-09,7.7364e-09
0.916,4.9406e-09,2.79611e-09,7.73671e-09
0.917,4.94819e-09,2.78883e-09,7.73702e-09
0.918,4.95578e-09,2.78155e-09,7.73733e-09
0.919,4.96336e-09,2.77428e-09,7.73764e-09
0.92,4.97093e-09,2.76701e-09,7.73794e-09
0.921,4.9785e-09,2.75975e-09,7.73825e-09
0.922,4.98607e-09,2.75249e-09,7.73856e-09
0.923,4.99364e-09,2.74523e-09,7.73887e-09
0.924,5.00119e-09,2.73798e-09,7.73917e-09
0.925,5.00875e-09,2.73073e-09,7.73948e-09
0.926,5.0163e-09,2.72348e-09,7.73979e-09
0.927,5.02385e-09,2.71624e-09,7.74009e-09
0.928,5.03139e-09,2.70901e-09,7.7404e-09
0.929,5.03893e-09,2.70178e-09,7.7407e-09
0.93,5.04646e-09,2.69455e-09,7.74101e-09
0.931,5.05399e-09,2.68733e-09,7.74132e-09
0.932,5.06151e-09,2.68011e-09,7.74162e-09
0.933,5.06903e-09,2.67289e-09,7.74193e-09
0.934,5.07655e-09,2.66569e-09,7.74223e-09
0.935,5.08406e-09,2.65848e-09,7.74254e-09
0.936,5.09156e-09,2.65128e-09,7.74284e-09
0.937,5.09906e-09,2.64408e-09,7.74315e-09
0.938,5.10656e-09,2.63689e-09,7.74345e-09
0.939,5.11405e-09,2.6297e-09,7.74375e-09
0.94,5.12154e-09,2.62252e-09,7.74406e-09
0.941,5.12902e-09,2.61534e-09,7.74436e-09
0.942,5.1365e-09,2.60817e-09,7.74467e-09
0.943,5.14397e-09,2.601e-09,7.74497e-09
0.944,5.15144e-09,2.59383e-09,7.74527e-09
0.945,5.1589e-09,2.58667e-09,7.74558e-09
0.946,5.16636e-09,2.57952e-09,7.74588e-09
0.947,5.17381e-09,2.57237e-09,7.74618e-09
0.948,5.18126e-09,2.56522e-09,7.74648e-09
0.949,5.1887e-09,2.55808e-09,7.74679e-09
0.95,5.19614e-09,2.55095e-09,7.74709e-09
0.951,5.20357e-09,2.54382e-09,7.74739e-09
0.952,5.211e-09,2.53669e-09,7.74769e-09
0.953,5.21843e-09,2.52957e-09,7.74799e-09
0.954,5.22584e-09,2.52245e-09,7.7483e-09
0.955,5.23326e-09,2.51534e-09,7.7486e-09
0.956,5.24066e-09,2.50824e-09,7.7489e-09
0.957,5.24806e-09,2.50113e-09,7.7492e-09
0.958,5.25546e-09,2.49404e-09,7.7495e-09
0.959,5.26285e-09,2.48695e-09,7.7498e-09
0.96,5.27024e-09,2.47986e-09,7.7501e-09
0.961,5.27762e-09,2.47278e-09,7.7504e-09
0.962,5.28499e-09,2.46571e-09,7.7507e-09
0.963,5.29236e-09,2.45864e-09,7.751e-09
0.964,5.29973e-09,2.45157e-09,7.7513e-09
0.965,5.30709e-09,2.44451e-09,7.7516e-09
0.966,5.31444e-09,2.43746e-09,7.7519e-09
0.967,5.32179e-09,2.43041e-09,7.7522e-09
0.968,5.32913e-09,2.42336e-09,7.75249e-09
0.969,5.33647e-09,2.41633e-09,7.75279e-09
0.97,5.3438e-09,2.40929e-09,7.75309e-09
0.971,5.35112e-09,2.40226e-09,7.75339e-09
0.972,5.35844e-09,2.39524e-09,7.75369e-09
0.973,5.36576e-09,2.38823e-09,7.75398e-09
0.974,5.37307e-09,2.38121e-09,7.75428e-09
0.975,5.38037e-09,2.37421e-09,7.75458e-09
0.976,5.38767e-09,2.36721e-09,7.75487e-09
0.977,5.39496e-09,2.36021e-09,7.75517e-09
0.978,5.40224e-09,2.35323e-09,7.75547e-09
0.979,5.40952e-09,2.34624e-09,7.75576e-09
0.98,5.41679e-09,2.33927e-09,7.75606e-09
0.981,5.42406e-09,2.33229e-09,7.75636e-09
0.982,5.43132e-09,2.32533e-09,7.75665e-09
0.983,5.43858e-09,2.31837e-09,7.75695e-09
0.984,5.44583e-09,2.31141e-09,7.75724e-09
0.985,5.45307e-09,2.30447e-09,7.75754e-09
0.986,5.46031e-09,2.29752e-09,7.75783e-09
0.987,5.46754e-09,2.29059e-09,7.75812e-09
0.988,5.47476e-09,2.28366e-09,7.75842e-09
0.989,5.48198e-09,2.27673e-09,7.75871e-09
0.99,5.48919e-09,2.26981e-09,7.75901e-09
0.991,5.4964e-09,2.2629e-09,7.7593e-09
0.992,5.5036e-09,2.25599e-09,7.75959e-09
0.993,5.51079e-09,2.24909e-09,7.75988e-09
0.994,5.51798e-09,2.2422e-09,7.76018e-09
0.995,5.52516e-09,2.23531e-09,7.76047e-09
0.996,5.53234e-09,2.22842e-09,7.76076e-09
