t,Ek,Ep,Ec
0.114,1.01568e-10,7.44015e-09,7.54171e-09
0.115,1.0335e-10,7.43844e-09,7.54179e-09
0.116,1.05147e-10,7.43671e-09,7.54186e-09
0.117,1.06959e-10,7.43497e-09,7.54193e-09
0.118,1.08787e-10,7.43322e-09,7.542e-09
0.119,1.1063e-10,7.43145e-09,7.54208e-09
0.12,1.12488e-10,7.42966e-09,7.54215e-09
0.121,1.14362e-10,7.42786e-09,7.54223e-09
0.122,1.16251e-10,7.42605e-09,7.5423e-09
0.123,1.18155e-10,7.42422e-09,7.54238e-09
0.124,1.20074e-10,7.42238e-09,7.54246e-09
0.125,1.22008e-10,7.42052e-09,7.54253e-09
0.126,1.23958e-10,7.41865e-09,7.54261e-09
0.127,1.25923e-10,7.41677e-09,7.54269e-09
0.128,1.27903e-10,7.41487e-09,7.54277e-09
0.129,1.29898e-10,7.41295e-09,7.54285e-09
0.13,1.31908e-10,7.41102e-09,7.54293e-09
0.131,1.33934e-10,7.40908e-09,7.54301e-09
0.132,1.35975e-10,7.40712e-09,7.54309e-09
0.133,1.3803e-10,7.40514e-09,7.54317e-09
0.134,1.40101e-10,7.40316e-09,7.54326e-09
0.135,1.42188e-10,7.40115e-09,7.54334e-09
0.136,1.44289e-10,7.39914e-09,7.54342e-09
0.137,1.46405e-10,7.3971e-09,7.54351e-09
0.138,1.48537e-10,7.39506e-09,7.54359e-09
0.139,1.50684e-10,7.393e-09,7.54368e-09
0.14,1.52845e-10,7.39092e-09,7.54377e-09
0.141,1.55022e-10,7.38883e-09,7.54385e-09
0.142,1.57214e-10,7.38673e-09,7.54394e-09
0.143,1.59421e-10,7.38461e-09,7.54403e-09
0.144,1.61643e-10,7.38248e-09,7.54412e-09
0.145,1.6388e-10,7.38033e-09,7.54421e-09
0.146,1.66132e-10,7.37817e-09,7.5443e-09
0.147,1.684e-10,7.37599e-09,7.54439e-09
0.148,1.70682e-10,7.3738e-09,7.54448e-09
0.149,1.72979e-10,7.37159e-09,7.54457e-09
0.15,1.75291e-10,7.36937e-09,7.54467e-09
0.151,1.77619e-10,7.36714e-09,7.54476e-09
0.152,1.79961e-10,7.36489e-09,7.54485e-09
0.153,1.82318e-10,7.36263e-09,7.54495e-09
0.154,1.8469e-10,7.36035e-09,7.54504e-09
0.155,1.87077e-10,7.35806e-09,7.54514e-09
0.156,1.8948e-10,7.35575e-09,7.54523e-09
0.157,1.91897e-10,7.35343e-09,7.54533e-09
0.158,1.94329e-10,7.3511e-09,7.54543e-09
0.159,1.96776e-10,7.34875e-09,7.54553e-09
0.16,1.99237e-10,7.34639e-09,7.54562e-09
0.161,2.01714e-10,7.34401e-09,7.54572e-09
0.162,2.04206e-10,7.34162e-09,7.54582e-09
0.163,2.06712e-10,7.33921e-09,7.54592e-09
0.164,2.09234e-10,7.33679e-09,7.54602e-09
